column,dtype,non_null_count,non_null_pct,missing_count,missing_pct,n_unique,is_constant,zero_pct,first_non_null_date,last_non_null_date,coverage_span_days,coverage_within_span_pct,example_values,min,p05,p25,median,p75,p95,max,mean,std,inferred_unit,inferred_group,notes,used_in_quality,used_in_eda,candidate_model_feature,analysis_priority
bodyBatteryStat_ENDOFDAY,Int64,497,85.6896551724138,83,14.310344827586208,48,False,0.0,2023-05-26,2026-02-04,986,85.83765112262522,"[36, 22, 19, 35, 24]",5.0,5.0,7.0,15.0,23.0,37.0,72.0,16.959758551307846,11.182791644926729,,body_battery,,False,True,True,medium
bodyBatteryStat_ENDOFDAY_bodyBatteryStatus,str,497,85.6896551724138,83,14.310344827586208,2,False,,2023-05-26,2026-02-04,986,85.83765112262522,"[""MEASURED"", ""MODELED""]",,,,,,,,,,,body_battery,,False,True,True,medium
bodyBatteryStat_ENDOFDAY_statTimestamp,str,497,85.6896551724138,83,14.310344827586208,497,False,,2023-05-26,2026-02-04,986,85.83765112262522,"[""2023-05-26T22:00:00.0"", ""2023-05-27T22:00:00.0"", ""2023-05-28T22:00:00.0"", ""2023-05-29T22:00:00.0"", ""2023-05-30T22:00:00.0""]",,,,,,,,,,datetime,body_battery,ISO datetime string,False,True,True,medium
bodyBatteryStat_HIGHEST,Int64,548,94.48275862068965,32,5.517241379310345,83,False,0.0,2023-05-26,2026-02-05,987,94.48275862068965,"[70, 100, 93, 80, 82]",5.0,34.0,68.0,83.0,96.0,100.0,100.0,77.66058394160584,21.34965582112102,,body_battery,,False,True,True,medium
bodyBatteryStat_HIGHEST_bodyBatteryStatus,str,548,94.48275862068965,32,5.517241379310345,3,False,,2023-05-26,2026-02-05,987,94.48275862068965,"[""MEASURED"", ""RESET"", ""MODELED""]",,,,,,,,,,,body_battery,,False,True,True,medium
bodyBatteryStat_HIGHEST_statTimestamp,str,548,94.48275862068965,32,5.517241379310345,548,False,,2023-05-26,2026-02-05,987,94.48275862068965,"[""2023-05-26T16:20:00.0"", ""2023-05-27T06:38:00.0"", ""2023-05-28T08:55:00.0"", ""2023-05-29T07:52:00.0"", ""2023-05-30T08:14:00.0""]",,,,,,,,,,datetime,body_battery,ISO datetime string,False,True,True,medium
bodyBatteryStat_LOWEST,Int64,548,94.48275862068965,32,5.517241379310345,37,False,0.0,2023-05-26,2026-02-05,987,94.48275862068965,"[36, 22, 8, 18, 24]",5.0,5.0,5.0,8.0,16.0,25.0,80.0,11.474452554744525,8.571736467118562,,body_battery,,False,True,True,medium
bodyBatteryStat_LOWEST_bodyBatteryStatus,str,548,94.48275862068965,32,5.517241379310345,3,False,,2023-05-26,2026-02-05,987,94.48275862068965,"[""MEASURED"", ""MODELED"", ""RESET""]",,,,,,,,,,,body_battery,,False,True,True,medium
bodyBatteryStat_LOWEST_statTimestamp,str,548,94.48275862068965,32,5.517241379310345,548,False,,2023-05-26,2026-02-05,987,94.48275862068965,"[""2023-05-26T21:55:00.0"", ""2023-05-27T21:57:00.0"", ""2023-05-28T00:50:00.0"", ""2023-05-28T23:09:00.0"", ""2023-05-30T22:00:00.0""]",,,,,,,,,,datetime,body_battery,ISO datetime string,False,True,True,medium
bodyBatteryStat_MOSTRECENT,Int64,548,94.48275862068965,32,5.517241379310345,59,False,0.0,2023-05-26,2026-02-05,987,94.48275862068965,"[36, 22, 19, 35, 24]",5.0,5.0,7.75,16.0,25.0,45.0,100.0,18.854014598540147,14.324160511078325,,body_battery,,False,True,True,medium
